start,end,college,name,elected,vote_support,vote_object,vote_invalid,college_population,college_population_total,college_population_rate,college_vote_population,college_vote_rate,college_support_vote,college_support_rate,competitive,college_vote_invalid,college_english,college_english_ab
105-1,105-2,理學院,許皓雲,1,41,8,25,2833,29955,0.09457519612752462,74,0.02612072008471585,137,0.29927007299270075,0,0,Science,Sci
105-1,105-2,社科院,王亮中,1,170,62,128,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.2328767123287671,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,廖俊翔,1,100,73,187,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.136986301369863,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,蘇長慶,1,195,43,122,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.2671232876712329,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,劉哲銘,1,135,62,163,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.18493150684931506,0,0,Social Sciences,Soc Sci
105-1,105-2,社科院,吳欣陽,1,130,54,176,2761,29955,0.09217159071941246,360,0.13038754074610648,730,0.1780821917808219,0,0,Social Sciences,Soc Sci
105-1,105-2,醫學院,羅瑞恩,1,199,9,22,2912,29955,0.09721248539475881,230,0.07898351648351648,391,0.5089514066496164,0,0,Medicine,Med
105-1,105-2,醫學院,黃序立,1,192,12,26,2912,29955,0.09721248539475881,230,0.07898351648351648,391,0.49104859335038364,0,0,Medicine,Med
105-1,105-2,工學院,林冠廷,1,69,15,51,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.3333333333333333,0,0,Engineering,Engr
105-1,105-2,工學院,李欣庭,1,62,22,51,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.2995169082125604,0,0,Engineering,Engr
105-1,105-2,工學院,高章琛,1,76,33,26,4664,29955,0.1557002169921549,135,0.028945111492281305,207,0.3671497584541063,0,0,Engineering,Engr
105-1,105-2,生農學院,許予安,1,40,11,27,3662,29955,0.12225004172926056,78,0.0212998361551065,100,0.4,0,0,Bio-Resources & Agriculture,Bio & Agri
105-1,105-2,生農學院,徐培瑄,1,60,8,10,3662,29955,0.12225004172926056,78,0.0212998361551065,100,0.6,0,0,Bio-Resources & Agriculture,Bio & Agri
105-1,105-2,管理學院,林子期,1,26,8,5,2949,29955,0.09844767150726089,39,0.013224821973550356,44,0.5909090909090909,0,0,Management,Mgmt
105-1,105-2,管理學院,姚旺廷,1,18,7,14,2949,29955,0.09844767150726089,39,0.013224821973550356,44,0.4090909090909091,0,0,Management,Mgmt
105-1,105-2,公衛學院,劉又豪,NA,8,22,0,650,29955,0.02169921548990152,28,0.043076923076923075,8,1,0,0,Public Health,PH
105-1,105-2,電資學院,林昱嘉,1,39,8,1,3998,29955,0.13346686696711735,49,0.012256128064032016,39,1,0,0,Electrical Engineering & Computer Science,EE & CS
105-1,105-2,法學院,林彥廷,1,73,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.4319526627218935,1,9,Law,Law
105-1,105-2,法學院,楊子敬,1,41,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.24260355029585798,1,9,Law,Law
105-1,105-2,法學院,林宇凡,1,47,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.2781065088757396,1,9,Law,Law
105-1,105-2,法學院,范植芃,NA,8,NA,NA,1470,29955,0.049073610415623435,178,0.12108843537414966,169,0.047337278106508875,1,9,Law,Law
105-2,106-1,文學院,何放,1,22,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.12429378531073447,1,4,Liberal Arts,LA
105-2,106-1,文學院,劉昱辰,NA,6,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.03389830508474576,1,4,Liberal Arts,LA
105-2,106-1,文學院,解富舜,1,37,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.20903954802259886,1,4,Liberal Arts,LA
105-2,106-1,文學院,陳俊臣,NA,9,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.05084745762711865,1,4,Liberal Arts,LA
105-2,106-1,文學院,楊宇倫,1,17,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.096045197740113,1,4,Liberal Arts,LA
105-2,106-1,文學院,王琦堯,NA,6,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.03389830508474576,1,4,Liberal Arts,LA
105-2,106-1,文學院,楊量鈞,NA,9,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.05084745762711865,1,4,Liberal Arts,LA
105-2,106-1,文學院,周允梵,1,14,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.07909604519774012,1,4,Liberal Arts,LA
105-2,106-1,文學院,陳宇宏,NA,2,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.011299435028248588,1,4,Liberal Arts,LA
105-2,106-1,文學院,尤鈺昕,1,28,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.15819209039548024,1,4,Liberal Arts,LA
105-2,106-1,文學院,許毅全,1,27,NA,NA,3094,30065,0.10291036088474971,181,0.05850032320620556,177,0.15254237288135594,1,4,Liberal Arts,LA
105-2,106-1,理學院,簡靖,1,12,6,24,2994,30065,0.09958423415932147,42,0.014028056112224449,61,0.19672131147540983,0,0,Science,Sci
105-2,106-1,理學院,陳奕安,NA,10,16,16,2994,30065,0.09958423415932147,42,0.014028056112224449,61,0.16393442622950818,0,0,Science,Sci
105-2,106-1,理學院,鍾曜宇,1,20,8,14,2994,30065,0.09958423415932147,42,0.014028056112224449,61,0.32786885245901637,0,0,Science,Sci
105-2,106-1,理學院,侯智詠,1,19,4,19,2994,30065,0.09958423415932147,42,0.014028056112224449,61,0.3114754098360656,0,0,Science,Sci
105-2,106-1,社科院,涂世泓,1,62,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.15577889447236182,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,貢厚琛,1,35,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.08793969849246232,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,徐郁翔,NA,31,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.07788944723618091,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,李成蔭,1,6,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.01507537688442211,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,阮家銘,1,14,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.035175879396984924,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,李政豪,1,52,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.1306532663316583,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,李辰諭,NA,24,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.06030150753768844,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,鄭雅馨,NA,35,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.08793969849246232,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,鄭仰博,NA,15,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.03768844221105527,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,徐連毅,1,41,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.10301507537688442,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,吳欣陽,NA,8,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.020100502512562814,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,賴怡璇,NA,33,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.0829145728643216,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,黃子寧,NA,10,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.02512562814070352,1,9,Social Sciences,Soc Sci
105-2,106-1,社科院,黃秉睿,NA,32,NA,NA,2914,30065,0.09692333277897888,407,0.13967055593685657,398,0.08040201005025126,1,9,Social Sciences,Soc Sci
105-2,106-1,醫學院,王舒荻,1,53,2,6,3043,30065,0.1012140362547813,61,0.020046007229707525,98,0.5408163265306123,0,0,Medicine,Med
105-2,106-1,醫學院,張閔喬,1,45,4,12,3043,30065,0.1012140362547813,61,0.020046007229707525,98,0.45918367346938777,0,0,Medicine,Med
105-2,106-1,工學院,王羿方,1,48,19,42,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.09937888198757763,0,0,Engineering,Engr
105-2,106-1,工學院,李尚軒,1,49,9,51,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.10144927536231885,0,0,Engineering,Engr
105-2,106-1,工學院,湯捷,1,48,8,53,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.09937888198757763,0,0,Engineering,Engr
105-2,106-1,工學院,曾禹方,1,72,6,31,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.14906832298136646,0,0,Engineering,Engr
105-2,106-1,工學院,賴森奎,1,60,7,42,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.12422360248447205,0,0,Engineering,Engr
105-2,106-1,工學院,林後維,1,56,5,48,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.11594202898550725,0,0,Engineering,Engr
105-2,106-1,工學院,黃建璋,1,51,9,49,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.10559006211180125,0,0,Engineering,Engr
105-2,106-1,工學院,顏安,1,51,11,47,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.10559006211180125,0,0,Engineering,Engr
105-2,106-1,工學院,李哲安,1,48,6,55,4824,30065,0.16045235323465823,109,0.022595356550580432,483,0.09937888198757763,0,0,Engineering,Engr
105-2,106-1,生農學院,林幸蓉,1,18,5,61,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.13953488372093023,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,生農學院,黃筱涵,1,40,4,40,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.31007751937984496,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,生農學院,劉昱佑,1,23,5,56,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.17829457364341086,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,生農學院,張盛閎,1,18,6,60,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.13953488372093023,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,生農學院,王迺翔,1,20,5,59,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.15503875968992248,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,生農學院,林可凡,NA,10,10,64,3799,30065,0.1263595542990188,84,0.022111081863648328,129,0.07751937984496124,0,0,Bio-Resources & Agriculture,Bio & Agri
105-2,106-1,管理學院,陶子軒,NA,3,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.028037383177570093,1,0,Management,Mgmt
105-2,106-1,管理學院,吳秉宸,1,46,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.42990654205607476,1,0,Management,Mgmt
105-2,106-1,管理學院,陳寧,NA,0,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0,1,0,Management,Mgmt
105-2,106-1,管理學院,王俊堯,1,4,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.037383177570093455,1,0,Management,Mgmt
105-2,106-1,管理學院,陳品,1,26,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.24299065420560748,1,0,Management,Mgmt
105-2,106-1,管理學院,林楷學,1,5,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.04672897196261682,1,0,Management,Mgmt
105-2,106-1,管理學院,曾增祐,1,4,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.037383177570093455,1,0,Management,Mgmt
105-2,106-1,管理學院,蔡宏文,1,19,NA,NA,3107,30065,0.10334275735905538,107,0.034438364982298034,107,0.17757009345794392,1,0,Management,Mgmt
105-2,106-1,電資學院,潘廣霖,1,6,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.08695652173913043,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,林宇宸,1,14,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.2028985507246377,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,周聖筌,NA,1,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.014492753623188406,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,鄭景平,1,11,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.15942028985507245,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,楊淞普,1,11,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.15942028985507245,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,許恆與,1,0,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,劉君猷,1,20,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.2898550724637681,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,陳佳佑,1,3,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.043478260869565216,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,電資學院,范晟祐,NA,3,NA,NA,3594,30065,0.1195409945118909,71,0.019755147468002224,69,0.043478260869565216,1,2,Electrical Engineering & Computer Science,EE & CS
105-2,106-1,法學院,姜柏任,1,66,NA,NA,1548,30065,0.051488441709629136,224,0.14470284237726097,223,0.29596412556053814,1,1,Law,Law
105-2,106-1,法學院,楊智鈞,NA,13,NA,NA,1548,30065,0.051488441709629136,224,0.14470284237726097,223,0.05829596412556054,1,1,Law,Law
105-2,106-1,法學院,張巍騰,NA,45,NA,NA,1548,30065,0.051488441709629136,224,0.14470284237726097,223,0.20179372197309417,1,1,Law,Law
105-2,106-1,法學院,白淘德,1,52,NA,NA,1548,30065,0.051488441709629136,224,0.14470284237726097,223,0.23318385650224216,1,1,Law,Law
105-2,106-1,法學院,廖佑祥,1,47,NA,NA,1548,30065,0.051488441709629136,224,0.14470284237726097,223,0.21076233183856502,1,1,Law,Law
105-2,106-1,生科學院,尤子瑄,1,13,2,10,1148,30065,0.03818393480791618,25,0.02177700348432056,24,0.5416666666666666,0,0,Life Science,Life Sci
105-2,106-1,生科學院,黃縉,1,11,5,9,1148,30065,0.03818393480791618,25,0.02177700348432056,24,0.4583333333333333,0,0,Life Science,Life Sci
106-1,106-2,文學院,閻孝和,1,57,36,126,3107,30991,0.10025491271659515,219,0.07048599935629224,308,0.18506493506493507,0,0,Liberal Arts,LA
106-1,106-2,文學院,林謙,1,67,24,128,3107,30991,0.10025491271659515,219,0.07048599935629224,308,0.21753246753246752,0,0,Liberal Arts,LA
106-1,106-2,文學院,蔡孟穎,1,88,16,115,3107,30991,0.10025491271659515,219,0.07048599935629224,308,0.2857142857142857,0,0,Liberal Arts,LA
106-1,106-2,文學院,周安履,1,96,14,109,3107,30991,0.10025491271659515,219,0.07048599935629224,308,0.3116883116883117,0,0,Liberal Arts,LA
106-1,106-2,理學院,林啟翔,NA,17,17,67,2852,30991,0.09202671743409377,101,0.03541374474053296,159,0.1069182389937107,0,0,Science,Sci
106-1,106-2,理學院,彭hao,1,47,12,42,2852,30991,0.09202671743409377,101,0.03541374474053296,159,0.29559748427672955,0,0,Science,Sci
106-1,106-2,理學院,曾遠鵬,1,33,11,57,2852,30991,0.09202671743409377,101,0.03541374474053296,159,0.20754716981132076,0,0,Science,Sci
106-1,106-2,理學院,許軒瑋,1,27,13,61,2852,30991,0.09202671743409377,101,0.03541374474053296,159,0.16981132075471697,0,0,Science,Sci
106-1,106-2,理學院,游士朋,1,35,9,57,2852,30991,0.09202671743409377,101,0.03541374474053296,159,0.22012578616352202,0,0,Science,Sci
106-1,106-2,社科院,吳昊,NA,11,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.025056947608200455,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,林奕宏,NA,51,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.11617312072892938,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,李辰諭,1,61,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.13895216400911162,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,林意庭,1,116,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.2642369020501139,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,廖俊翔,NA,17,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.0387243735763098,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,黃思嘉,1,105,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.23917995444191345,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,楊天傑,1,9,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.02050113895216401,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,李奕潔,NA,45,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.10250569476082004,1,22,Social Sciences,Soc Sci
106-1,106-2,社科院,紀緯明,1,24,NA,NA,2892,30991,0.09331741473330966,461,0.1594052558782849,439,0.05466970387243736,1,22,Social Sciences,Soc Sci
106-1,106-2,醫學院,田芃,1,79,20,78,3286,30991,0.1060307831305863,177,0.05386488131466829,359,0.2200557103064067,0,0,Medicine,Med
106-1,106-2,醫學院,孟令晨,1,83,16,78,3286,30991,0.1060307831305863,177,0.05386488131466829,359,0.23119777158774374,0,0,Medicine,Med
106-1,106-2,醫學院,施欣佑,1,93,11,73,3286,30991,0.1060307831305863,177,0.05386488131466829,359,0.2590529247910863,0,0,Medicine,Med
106-1,106-2,醫學院,曾寶億,1,104,13,60,3286,30991,0.1060307831305863,177,0.05386488131466829,359,0.28969359331476324,0,0,Medicine,Med
106-1,106-2,工學院,樊宸安,1,44,6,111,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.12903225806451613,0,0,Engineering,Engr
106-1,106-2,工學院,高強,1,43,10,108,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.12609970674486803,0,0,Engineering,Engr
106-1,106-2,工學院,高章琛,1,52,14,95,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.15249266862170088,0,0,Engineering,Engr
106-1,106-2,工學院,廖經晏,1,56,12,93,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.16422287390029325,0,0,Engineering,Engr
106-1,106-2,工學院,李侑哲,1,48,9,104,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.14076246334310852,0,0,Engineering,Engr
106-1,106-2,工學院,賴浩恩,1,46,14,101,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.1348973607038123,0,0,Engineering,Engr
106-1,106-2,工學院,曾柏翰,1,52,11,98,4684,30991,0.15114065373818206,161,0.03437233134073441,341,0.15249266862170088,0,0,Engineering,Engr
106-1,106-2,生農學院,林于哲,1,44,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.19298245614035087,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,劉品辰,1,13,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.05701754385964912,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,徐培瑄,1,41,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.17982456140350878,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,王賢慈,1,40,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.17543859649122806,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,施雯婷,1,48,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.21052631578947367,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,蔡蔚澤,NA,3,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.013157894736842105,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,馮宜陽,1,30,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.13157894736842105,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,生農學院,林弘曄,1,9,NA,NA,3637,30991,0.11735665193120583,249,0.06846301897167996,228,0.039473684210526314,1,21,Bio-Resources & Agriculture,Bio & Agri
106-1,106-2,管理學院,王筱婷,1,64,10,75,3833,30991,0.12368106869736376,149,0.03887294547351944,125,0.512,0,0,Management,Mgmt
106-1,106-2,管理學院,周亞萱,1,61,8,80,3833,30991,0.12368106869736376,149,0.03887294547351944,125,0.488,0,0,Management,Mgmt
106-1,106-2,公衛學院,王宇綺,1,17,1,9,665,30991,0.02145784259946436,27,0.0406015037593985,17,1,0,0,Public Health,PH
106-1,106-2,電資學院,江懿友,1,29,14,91,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.10622710622710622,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,電資學院,許瑞福,1,68,4,62,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.2490842490842491,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,電資學院,林昱嘉,1,38,8,88,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.1391941391941392,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,電資學院,楊育綸,1,54,4,76,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.1978021978021978,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,電資學院,黃莉晴,1,41,2,91,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.15018315018315018,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,電資學院,李宗穎,1,43,6,85,3447,30991,0.1112258397599303,134,0.0388743835219031,273,0.1575091575091575,0,0,Electrical Engineering & Computer Science,EE & CS
106-1,106-2,法學院,張巍騰,1,91,NA,NA,1525,30991,0.04920783453260624,298,0.19540983606557377,291,0.3127147766323024,1,7,Law,Law
106-1,106-2,法學院,楊智鈞,NA,41,NA,NA,1525,30991,0.04920783453260624,298,0.19540983606557377,291,0.140893470790378,1,7,Law,Law
106-1,106-2,法學院,孫廷禎,1,107,NA,NA,1525,30991,0.04920783453260624,298,0.19540983606557377,291,0.36769759450171824,1,7,Law,Law
106-1,106-2,法學院,許庭豪,1,52,NA,NA,1525,30991,0.04920783453260624,298,0.19540983606557377,291,0.17869415807560138,1,7,Law,Law
106-1,106-2,生科學院,梁家豪,1,26,NA,NA,1063,30991,0.03430028072666258,45,0.04233301975540922,44,0.5909090909090909,1,1,Life Science,Life Sci
106-1,106-2,生科學院,陳立倫,NA,2,NA,NA,1063,30991,0.03430028072666258,45,0.04233301975540922,44,0.045454545454545456,1,1,Life Science,Life Sci
106-1,106-2,生科學院,江昱霆,1,16,NA,NA,1063,30991,0.03430028072666258,45,0.04233301975540922,44,0.36363636363636365,1,1,Life Science,Life Sci
